target,workload,variant,syscalls,bytes_read,useful_bytes,logical_reads,amplification,hit_rate,wall_ms,span_fetches,span_overreads,agree_twice_suppressed,retained_bytes,items,checksum,note
fixture (just recorded),walk,uncached,15616,188632,188632,15616,1.0000,0.0000,3.8479,0,0,0,0,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,page-128,6023,770944,151160,10932,5.1002,0.4688,3.6107,0,0,1562,770944,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,page-256,4701,1203456,151160,10932,7.9615,0.5764,3.5081,0,0,1562,1203456,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,page-512,3887,1990144,151160,10932,13.1658,0.6475,3.4665,0,0,1562,1990144,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,page-1k,3220,3297280,151160,10932,21.8132,0.7073,3.4572,0,0,1562,3297280,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,page-2k,2652,5431296,151160,10932,35.9308,0.7586,3.9837,0,0,1562,5431296,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,page-4k,1618,6627328,151160,10932,43.8431,0.8526,3.5777,0,0,1562,6627328,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,page-16k,824,11583488,151160,10932,76.6306,0.9390,3.7831,0,0,1562,10944512,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,span,4459,2490112,151160,10932,16.4734,0.6071,6.6170,1556,4,1562,2446592,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,hybrid-1k,3041,3634432,151160,10932,24.0436,0.7320,8.0812,1554,2,1562,3597696,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,hybrid-4k,2282,5098752,151160,10932,33.7308,0.7989,7.1471,1554,2,1562,5056896,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),walk,hybrid-4k+text,1830,6096512,151160,10932,40.3315,0.8388,7.0652,1102,2,1562,5801344,1562,225628E5E3E46B6D,"Complete"
fixture (just recorded),geometry,uncached,18200,145800,145800,18200,1.0000,0.0000,2.1654,0,0,0,0,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,page-128,7200,921600,145800,18200,6.3210,0.6044,1.4720,0,0,0,4608,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,page-256,7200,1843200,145800,18200,12.6420,0.6044,1.3473,0,0,0,9216,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,page-512,7000,3584000,145800,18200,24.5816,0.6154,1.4930,0,0,0,17920,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,page-1k,6600,6758400,145800,18200,46.3539,0.6374,1.6268,0,0,0,33792,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,page-2k,3800,7782400,145800,18200,53.3772,0.7912,1.3823,0,0,0,38912,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,page-4k,3400,13926400,145800,18200,95.5171,0.8132,1.6071,0,0,0,69632,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,page-16k,3400,45875200,145800,18200,314.6447,0.8571,2.2323,0,0,0,212992,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,span,3600,4582400,145800,18200,31.4294,0.8132,1.9692,3400,200,0,21504,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,hybrid-1k,3600,4761600,145800,18200,32.6584,0.8132,1.9867,3400,200,0,22400,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,hybrid-4k,3600,5376000,145800,18200,36.8724,0.8132,2.2337,3400,200,0,25472,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),geometry,hybrid-4k+text,3600,10342400,145800,18200,70.9355,0.8132,2.6634,3400,200,0,45184,200,8A43CD7E3BF38705,"200 snapshots"
fixture (just recorded),poll,uncached,105740,889140,889140,105740,1.0000,0.0000,2.9791,0,0,0,0,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,page-128,8320,1064960,862100,102360,1.2353,0.9189,4.8975,0,0,1140,53248,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,page-256,7180,1838080,862100,102360,2.1321,0.9299,5.0029,0,0,1140,91904,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,page-512,5980,3061760,862100,102360,3.5515,0.9416,4.9241,0,0,1140,153088,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,page-1k,4800,4915200,862100,102360,5.7014,0.9531,4.9939,0,0,1140,245760,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,page-2k,3340,6840320,862100,102360,7.9345,0.9674,4.8221,0,0,1140,342016,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,page-4k,2340,9584640,862100,102360,11.1178,0.9771,4.9924,0,0,1140,479232,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,page-16k,1440,20643840,862100,102360,23.9460,0.9883,5.3470,0,0,1140,983040,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,span,4140,2265600,862100,102360,2.6280,0.9599,5.3516,1400,20,1140,110080,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,hybrid-1k,3480,4029440,862100,102360,4.6740,0.9663,5.8739,1400,20,1140,199040,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,hybrid-4k,2780,7531520,862100,102360,8.7362,0.9731,6.6710,1400,20,1140,375168,1140,5B5301CD8065A1C5,"20 snapshots"
fixture (just recorded),poll,hybrid-4k+text,2780,9571840,862100,102360,11.1029,0.9731,9.0391,1400,20,1140,448000,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),walk,uncached,15616,188632,188632,15616,1.0000,0.0000,11.5104,0,0,0,0,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,page-128,6023,770944,151160,10932,5.1002,0.4688,6.8625,0,0,1562,770944,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,page-256,4701,1203456,151160,10932,7.9615,0.5764,5.8050,0,0,1562,1203456,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,page-512,3887,1990144,151160,10932,13.1658,0.6475,5.3247,0,0,1562,1990144,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,page-1k,3220,3297280,151160,10932,21.8132,0.7073,4.2673,0,0,1562,3297280,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,page-2k,2652,5431296,151160,10932,35.9308,0.7586,4.1454,0,0,1562,5431296,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,page-4k,1618,6627328,151160,10932,43.8431,0.8526,3.6565,0,0,1562,6627328,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,page-16k,824,11583488,151160,10932,76.6306,0.9390,3.1594,0,0,1562,10944512,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,span,4453,2486784,151160,10932,16.4513,0.6073,6.1744,1554,0,1562,2448896,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,hybrid-1k,3039,3632384,151160,10932,24.0301,0.7320,5.5659,1554,0,1562,3598464,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,hybrid-4k,2280,5090560,151160,10932,33.6766,0.7989,6.2813,1554,0,1562,5051520,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),walk,hybrid-4k+text,1828,6088320,151160,10932,40.2773,0.8388,5.6731,1102,0,1562,5798784,1562,225628E5E3E46B6D,"Complete"
live pid 418440 (1562 nodes),geometry,uncached,18200,145800,145800,18200,1.0000,0.0000,11.5473,0,0,0,0,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,page-128,7200,921600,145800,18200,6.3210,0.6044,6.0757,0,0,0,4608,200,8A43CD7E3BF38705,"200 snapshots"
